,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.7275571441889419,2025-04-06 13:41:53.559412,2025-04-06 13:47:34.497349,0 days 00:05:40.937937,0.8040785720282233,0.23475353202639293,0.20794137384406222,6,861,0.0022563524050639174,3.920513426183385e-06,0.6362373253230805,COMPLETE
1,1,0.7632961273476453,2025-04-06 13:47:34.513770,2025-04-06 13:53:02.996389,0 days 00:05:28.482619,0.9643978248866373,0.31289013207855154,0.010613471195991252,7,559,0.8543315947516902,0.00830824839055759,0.6831748187126616,COMPLETE
2,2,0.7621480328694101,2025-04-06 13:53:03.008345,2025-04-06 13:55:31.737356,0 days 00:02:28.729011,0.7600697190191279,0.1900145043055505,0.07945957788161542,3,261,7.879883796427215e-08,6.0243887094384094e-05,0.8435183148794857,COMPLETE
3,3,0.7659675734964668,2025-04-06 13:55:31.748720,2025-04-06 13:58:04.202279,0 days 00:02:32.453559,0.7476979748492274,0.46649379340971997,0.11524482428935784,6,154,0.0017556732816172494,0.0008898002748440011,0.6001054507586555,COMPLETE
4,4,0.7544503703509746,2025-04-06 13:58:04.214006,2025-04-06 14:03:58.274740,0 days 00:05:54.060734,0.8614130988437416,0.4293491263825034,0.09640013647007724,7,768,3.050083032329267e-07,0.7694602818871122,0.7880249083182129,COMPLETE
5,5,0.7605199228177468,2025-04-06 14:03:58.286490,2025-04-06 14:07:42.015213,0 days 00:03:43.728723,0.615990513155925,0.3636585493266748,0.2613861645614253,3,751,0.3206843330328948,0.0001520415144336642,0.8894679556912359,COMPLETE
6,6,0.7456732386160552,2025-04-06 14:07:42.030209,2025-04-06 14:10:21.260022,0 days 00:02:39.229813,0.6979507446637454,0.16222177620162126,0.017917806239704237,5,192,0.006879411179322133,6.416727642262941e-08,0.7259016652408612,COMPLETE
7,7,0.773100876245817,2025-04-06 14:10:21.272022,2025-04-06 14:15:16.414838,0 days 00:04:55.142816,0.7473414513932662,0.07182508374714835,0.037685445891229574,5,863,1.928776670466317e-08,1.032258875186076e-08,0.849401532687797,COMPLETE
8,8,0.7608507691094732,2025-04-06 14:15:16.426771,2025-04-06 14:20:31.907050,0 days 00:05:15.480279,0.9461403234358537,0.22090304566685498,0.07094563565643723,8,517,9.957884983059229e-05,5.352420989844846e-07,0.760303750934508,COMPLETE
9,9,0.7393079804892176,2025-04-06 14:20:31.919048,2025-04-06 14:26:46.078481,0 days 00:06:14.159433,0.7823746470698055,0.3062581654560094,0.15836228149456993,9,528,4.1372410746254615e-06,6.041562993266961e-06,0.8130161479071843,COMPLETE
10,10,0.7637378016141068,2025-04-06 14:26:46.092761,2025-04-06 14:38:15.606614,0 days 00:11:29.513853,0.6346166357700445,0.01602409436470948,0.03305986657680545,10,936,1.3767163207835122e-08,1.0710148314758142e-08,0.9964348092616245,COMPLETE
11,11,0.7477030400982606,2025-04-06 14:38:15.618615,2025-04-06 14:40:28.740057,0 days 00:02:13.121442,0.7230454329822041,0.4832456979198618,0.03837897975467147,5,102,3.669086055623271e-05,0.0025730051259536283,0.9208778110611193,COMPLETE
12,12,0.766844668188162,2025-04-06 14:40:28.751498,2025-04-06 14:43:40.970764,0 days 00:03:12.219266,0.8566645716863007,0.06585200922331119,0.0367467994028959,5,358,0.006317520804006488,0.014511455851131604,0.6147984411199015,COMPLETE
13,13,0.7626604860346242,2025-04-06 14:43:40.982973,2025-04-06 14:46:34.839436,0 days 00:02:53.856463,0.8768770357096058,0.029702300711764384,0.03798213879614371,4,337,0.032766112522792816,0.21181411958192525,0.871149924606517,COMPLETE
14,14,0.7626135452089098,2025-04-06 14:46:34.851920,2025-04-06 14:49:58.875194,0 days 00:03:24.023274,0.851662639909849,0.10482834449721228,0.023006101643134165,5,395,4.844721256505107e-06,0.057429861470503316,0.9378225784958208,COMPLETE
15,15,0.7711426708086857,2025-04-06 14:49:58.888191,2025-04-06 14:53:51.286476,0 days 00:03:52.398285,0.9097785939343099,0.10620052358920251,0.0533473496197769,4,661,0.0005188200442129194,0.02594066149323795,0.707358354475192,COMPLETE
16,16,0.7711703669479053,2025-04-06 14:53:51.298551,2025-04-06 14:57:44.895512,0 days 00:03:53.596961,0.9214179961452524,0.12255506383936662,0.055734383788652635,4,670,4.123411023336144e-06,9.911009076683687e-05,0.7302269648308345,COMPLETE
17,17,0.7718316776768784,2025-04-06 14:57:44.908219,2025-04-06 15:02:43.216728,0 days 00:04:58.308509,0.9936354502035817,0.13525992559463043,0.05697671476473843,4,989,4.88560508476407e-07,4.3465239699962943e-07,0.7477491467488274,COMPLETE
18,18,0.7632151741978946,2025-04-06 15:02:43.229697,2025-04-06 15:07:19.047266,0 days 00:04:35.817569,0.9855146384223122,0.1512951289226693,0.02120290128266769,3,967,1.2898857872430832e-08,1.6266952638428335e-07,0.8173769687136342,COMPLETE
19,19,0.770020901467361,2025-04-06 15:07:19.061355,2025-04-06 15:13:51.209624,0 days 00:06:32.148269,0.6850987834767381,0.06119834516576083,0.013056706664855925,6,999,8.188481124314754e-07,1.820848349286154e-08,0.6656494299377429,COMPLETE
20,20,0.7640427914591154,2025-04-06 15:13:51.222866,2025-04-06 15:18:11.397732,0 days 00:04:20.174866,0.8115737397429513,0.2877503479775623,0.12803377503747507,4,865,1.3510046596543262e-07,1.233163786666224e-06,0.7639579531590761,COMPLETE
21,21,0.7712939380634707,2025-04-06 15:18:11.410767,2025-04-06 15:22:18.490704,0 days 00:04:07.079937,0.9394693877713332,0.11435569371581607,0.05671216033410181,4,745,3.7416682630242517e-06,3.802097249730555e-05,0.7339002201515497,COMPLETE
22,22,0.7725448476953923,2025-04-06 15:22:18.503342,2025-04-06 15:26:49.225790,0 days 00:04:30.722448,0.989016422793475,0.07058073066751602,0.05376931878125708,4,871,8.104589006784525e-07,1.869668996549203e-05,0.7623709573110995,COMPLETE
23,23,0.7727546054823126,2025-04-06 15:26:49.238790,2025-04-06 15:32:00.374569,0 days 00:05:11.135779,0.9992693018093094,0.06120880024557441,0.029121083322217554,5,873,4.52752026715342e-08,1.8783130151624855e-07,0.7924746720050442,COMPLETE
24,24,0.7728664103588148,2025-04-06 15:32:00.387526,2025-04-06 15:37:05.754468,0 days 00:05:05.366942,0.9051091148064094,0.05277758161998377,0.02861136976918773,5,859,3.443136587284478e-08,4.6009006788832586e-08,0.8446075282727838,COMPLETE
25,25,0.7732414771805656,2025-04-06 15:37:05.766471,2025-04-06 15:42:38.053128,0 days 00:05:32.286657,0.8886887702788715,0.0012988301903253952,0.02468064417313256,6,816,5.510317888143797e-08,5.0891975525925654e-08,0.8651032569027113,COMPLETE
26,26,0.7718239225797724,2025-04-06 15:42:38.064618,2025-04-06 15:49:12.520082,0 days 00:06:34.455464,0.8948769178147558,0.0037567722249265047,0.01753171500595675,7,800,1.1553034344592242e-08,3.6999823446643134e-08,0.8526492316429874,COMPLETE
27,27,0.7713602638487542,2025-04-06 15:49:12.534364,2025-04-06 15:55:30.859184,0 days 00:06:18.324820,0.8257975548094951,0.03719729071246645,0.02960374553792925,8,653,4.6191560968838515e-08,6.868881998145207e-08,0.9082730079887644,COMPLETE
28,28,0.7732314916302506,2025-04-06 15:55:30.871835,2025-04-06 16:01:25.815752,0 days 00:05:54.943917,0.8271031014745064,0.0026934178314294015,0.024409098386809495,6,918,1.8241200220717808e-07,1.0098586426761874e-08,0.8385868332925833,COMPLETE
29,29,0.7706513148251695,2025-04-06 16:01:25.828090,2025-04-06 16:07:40.609848,0 days 00:06:14.781758,0.781220746302085,0.0008005168992627071,0.014726760573239352,6,925,2.0891537024836662e-05,1.0292531290458943e-08,0.9605012442369705,COMPLETE
30,30,0.7730158785557582,2025-04-06 16:07:40.622142,2025-04-06 16:13:08.121789,0 days 00:05:27.499647,0.8148089525050111,0.2079484952124303,0.024552917755022913,6,811,1.2551985345439238e-07,3.0554649921312637e-06,0.876003582500023,COMPLETE
31,31,0.7730604714773962,2025-04-06 16:13:08.136834,2025-04-06 16:18:38.858079,0 days 00:05:30.721245,0.8244945927741189,0.2530879697054653,0.02565082952983641,6,817,1.6842144022029512e-07,1.3485152931353103e-06,0.8831907268425335,COMPLETE
32,32,0.771752274210615,2025-04-06 16:18:38.875631,2025-04-06 16:24:38.112147,0 days 00:05:59.236516,0.8373699360246601,0.2592644757118465,0.01859083081629138,7,718,2.5814587878546376e-07,1.9886591254164184e-07,0.8238281289166033,COMPLETE
33,33,0.7610401422128505,2025-04-06 16:24:38.124106,2025-04-06 16:29:37.760891,0 days 00:04:59.636785,0.7736993107628498,0.2565267051861434,0.0105223728240803,6,608,1.06073878311185e-06,1.349266944371761e-06,0.8951799968138271,COMPLETE
34,34,0.7636737291042384,2025-04-06 16:29:37.772888,2025-04-06 16:37:23.335052,0 days 00:07:45.562164,0.7970452782557819,0.1854947259096143,0.04734503290593378,8,917,8.724236526829006e-08,3.3949297716057904e-08,0.8653838196767263,COMPLETE
35,35,0.7731493751046064,2025-04-06 16:37:23.347895,2025-04-06 16:43:04.393833,0 days 00:05:41.045938,0.736185553848082,0.3430072166825012,0.025191628697225892,6,821,2.7345211444048726e-08,1.1368754136066427e-07,0.9519136219019999,COMPLETE
36,36,0.7698477588492995,2025-04-06 16:43:04.407009,2025-04-06 16:49:08.664657,0 days 00:06:04.257648,0.7222765242414414,0.39210353471725246,0.014541426087763838,7,709,3.0403672630527825e-08,1.2790807332230176e-07,0.9539990178153526,COMPLETE
